?column?
LEXENTRY:\tAARONS PASS\tAARONS PASS\tWORD,CITY\tDETACH
LEXENTRY:\tABBA RIVER\tABBA RIVER\tWORD,CITY\tDETACH
LEXENTRY:\tABBEY\tABBEY\tWORD,CITY\tDETACH
LEXENTRY:\tABBEYARD\tABBEYARD\tWORD,CITY\tDETACH
LEXENTRY:\tABBEYWOOD\tABBEYWOOD\tWORD,CITY\tDETACH
LEXENTRY:\tABBOTSBURY\tABBOTSBURY\tWORD,CITY\tDETACH
LEXENTRY:\tABBOTSFORD\tABBOTSFORD\tWORD,CITY\tDETACH
LEXENTRY:\tABBOTSHAM\tABBOTSHAM\tWORD,CITY\tDETACH
LEXENTRY:\tABELS BAY\tABELS BAY\tWORD,CITY\tDETACH
LEXENTRY:\tABERCORN\tABERCORN\tWORD,CITY\tDETACH
LEXENTRY:\tABERCROMBIE\tABERCROMBIE\tWORD,CITY\tDETACH
LEXENTRY:\tABERCROMBIE RIVER\tABERCROMBIE RIVER\tWORD,CITY\tDETACH
LEXENTRY:\tABERDARE\tABERDARE\tWORD,CITY\tDETACH
LEXENTRY:\tABERDEEN\tABERDEEN\tWORD,CITY\tDETACH
LEXENTRY:\tABERFELDIE\tABERFELDIE\tWORD,CITY\tDETACH
LEXENTRY:\tABERFELDY\tABERFELDY\tWORD,CITY\tDETACH
LEXENTRY:\tABERFOYLE\tABERFOYLE\tWORD,CITY\tDETACH
LEXENTRY:\tABERFOYLE PARK\tABERFOYLE PARK\tWORD,CITY\tDETACH
LEXENTRY:\tABERGLASSLYN\tABERGLASSLYN\tWORD,CITY\tDETACH
LEXENTRY:\tABERGOWRIE\tABERGOWRIE\tWORD,CITY\tDETACH
LEXENTRY:\tABERMAIN\tABERMAIN\tWORD,CITY\tDETACH
LEXENTRY:\tABERNETHY\tABERNETHY\tWORD,CITY\tDETACH
LEXENTRY:\tABINGTON\tABINGTON\tWORD,CITY\tDETACH
LEXENTRY:\tABMINGA STATION\tABMINGA STATION\tWORD,CITY\tDETACH
LEXENTRY:\tACACIA CREEK\tACACIA CREEK\tWORD,CITY\tDETACH
LEXENTRY:\tACACIA GARDENS\tACACIA GARDENS\tWORD,CITY\tDETACH
LEXENTRY:\tACACIA HILLS\tACACIA HILLS\tWORD,CITY\tDETACH
LEXENTRY:\tACACIA RIDGE\tACACIA RIDGE\tWORD,CITY\tDETACH
LEXENTRY:\tACHERON\tACHERON\tWORD,CITY\tDETACH
LEXENTRY:\tACLAND\tACLAND\tWORD,CITY\tDETACH
LEXENTRY:\tACTON\tACTON\tWORD,CITY\tDETACH
LEXENTRY:\tACTON PARK\tACTON PARK\tWORD,CITY\tDETACH
LEXENTRY:\tADAMINABY\tADAMINABY\tWORD,CITY\tDETACH
LEXENTRY:\tADAMS ESTATE\tADAMS ESTATE\tWORD,CITY\tDETACH
LEXENTRY:\tADAMSTOWN\tADAMSTOWN\tWORD,CITY\tDETACH
LEXENTRY:\tADAMSTOWN HEIGHTS\tADAMSTOWN HEIGHTS\tWORD,CITY\tDETACH
LEXENTRY:\tADAMSVALE\tADAMSVALE\tWORD,CITY\tDETACH
LEXENTRY:\tADARE\tADARE\tWORD,CITY\tDETACH
LEXENTRY:\tADAVALE\tADAVALE\tWORD,CITY\tDETACH
LEXENTRY:\tADDINGTON\tADDINGTON\tWORD,CITY\tDETACH
LEXENTRY:\tADELAIDE\tADELAIDE\tWORD,CITY\tDETACH
LEXENTRY:\tADELAIDE AIRPORT\tADELAIDE AIRPORT\tWORD,CITY\tDETACH
LEXENTRY:\tADELAIDE LEAD\tADELAIDE LEAD\tWORD,CITY\tDETACH
LEXENTRY:\tADELAIDE PARK\tADELAIDE PARK\tWORD,CITY\tDETACH
LEXENTRY:\tADELAIDE RIVER\tADELAIDE RIVER\tWORD,CITY\tDETACH
LEXENTRY:\tADELONG\tADELONG\tWORD,CITY\tDETACH
LEXENTRY:\tADJUNGBILLY\tADJUNGBILLY\tWORD,CITY\tDETACH
LEXENTRY:\tADVANCETOWN\tADVANCETOWN\tWORD,CITY\tDETACH
LEXENTRY:\tADVENTURE BAY\tADVENTURE BAY\tWORD,CITY\tDETACH
LEXENTRY:\tAEROGLEN\tAEROGLEN\tWORD,CITY\tDETACH
