?column?
LEXENTRY:\tAUSTRALIAN CAPITAL TERRITORY\tAUSTRALIAN CAPITAL TERRITORY\tWORD,PROV\tDETACH
LEXENTRY:\tNEW SOUTH WALES\tNEW SOUTH WALES\tWORD,PROV\tDETACH
LEXENTRY:\tNORTHERN TERRITORY\tNORTHERN TERRITORY\tWORD,PROV\tDETACH
LEXENTRY:\tOTHER TERRITORIES\tOTHER TERRITORIES\tWORD,PROV\tDETACH
LEXENTRY:\tQUEENSLAND\tQUEENSLAND\tWORD,PROV\tDETACH
LEXENTRY:\tSOUTH AUSTRALIA\tSOUTH AUSTRALIA\tWORD,PROV\tDETACH
LEXENTRY:\tTASMANIA\tTASMANIA\tWORD,PROV\tDETACH
LEXENTRY:\tVICTORIA\tVICTORIA\tWORD,PROV\tDETACH
LEXENTRY:\tWESTERN AUSTRALIA\tWESTERN AUSTRALIA\tWORD,PROV\tDETACH
LEXENTRY:\tACT\tACT\tWORD,PROV\tDETACH
LEXENTRY:\tNSW\tNSW\tWORD,PROV\tDETACH
LEXENTRY:\tNT\tNT\tWORD,PROV\tDETACH
LEXENTRY:\tOT\tOT\tWORD,PROV\tDETACH
LEXENTRY:\tQLD\tQLD\tWORD,PROV\tDETACH
LEXENTRY:\tSA\tSA\tWORD,PROV\tDETACH
LEXENTRY:\tTAS\tTAS\tWORD,PROV\tDETACH
LEXENTRY:\tVIC\tVIC\tWORD,PROV\tDETACH
LEXENTRY:\tWA\tWA\tWORD,PROV\tDETACH
