lex
LEXENTRY:\tACCESS\tACCESS\tWORD,TYPE\tDETACH
LEXENTRY:\tACCS\tACCESS\tWORD,TYPE\tDETACH
LEXENTRY:\tACRE\tACRE\tWORD,TYPE\tDETACH
LEXENTRY:\tAIRWALK\tAIRWALK\tWORD,TYPE\tDETACH
LEXENTRY:\tALLEY\tALLEY\tWORD,TYPE\tDETACH
LEXENTRY:\tALLEYWAY\tALLEYWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tALLY\tALLEY\tWORD,TYPE\tDETACH
LEXENTRY:\tALWY\tALLEYWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tAMBLE\tAMBLE\tWORD,TYPE\tDETACH
LEXENTRY:\tAMBL\tAMBLE\tWORD,TYPE\tDETACH
LEXENTRY:\tAPPROACH\tAPPROACH\tWORD,TYPE\tDETACH
LEXENTRY:\tAPP\tAPPROACH\tWORD,TYPE\tDETACH
LEXENTRY:\tARCADE\tARCADE\tWORD,TYPE\tDETACH
LEXENTRY:\tARC\tARCADE\tWORD,TYPE\tDETACH
LEXENTRY:\tARTERIAL\tARTERIAL\tWORD,TYPE\tDETACH
LEXENTRY:\tARTERY\tARTERY\tWORD,TYPE\tDETACH
LEXENTRY:\tARTL\tARTERIAL\tWORD,TYPE\tDETACH
LEXENTRY:\tARTY\tARTERY\tWORD,TYPE\tDETACH
LEXENTRY:\tAVENUE\tAVENUE\tWORD,TYPE\tDETACH
LEXENTRY:\tAV\tAVENUE\tWORD,TYPE\tDETACH
LEXENTRY:\tAWLK\tAIRWALK\tWORD,TYPE\tDETACH
LEXENTRY:\tBANAN\tBANAN\tWORD,TYPE\tDETACH
LEXENTRY:\tBANK\tBANK\tWORD,TYPE\tDETACH
LEXENTRY:\tBA\tBANAN\tWORD,TYPE\tDETACH
LEXENTRY:\tBAY\tBAY\tWORD,TYPE\tDETACH
LEXENTRY:\tBCH\tBEACH\tWORD,TYPE\tDETACH
LEXENTRY:\tBDGE\tBRIDGE\tWORD,TYPE\tDETACH
LEXENTRY:\tBDWY\tBROADWAY\tWORD,TYPE\tDETACH
LEXENTRY:\tBEACH\tBEACH\tWORD,TYPE\tDETACH
LEXENTRY:\tBEND\tBEND\tWORD,TYPE\tDETACH
