                                             placename                                             |  cnt  
---------------------------------------------------------------------------------------------------+-------
 100 Mile House                                                                                    |   111
 103 Mile House                                                                                    |    19
 105 Mile House                                                                                    |    23
 108 Mile House                                                                                    |    18
 108 Mile Ranch                                                                                    |    68
 141 Mile House                                                                                    |    18
 150 Mile House                                                                                    |    70
 70 Mile House                                                                                     |    73
 93 Mile House                                                                                     |    23
 Abbotsford                                                                                        |  1344
 Abercorn                                                                                          |    18
 Abercrombie                                                                                       |    37
 Aberdeen                                                                                          |    12
 Abney                                                                                             |    10
 Aboujagane                                                                                        |     1
 Abram-Village                                                                                     |    14
 Abrams River                                                                                      |     5
 Acaciaville                                                                                       |     6
 Acadia No. 34, M.D. of                                                                            |    55
 Acadia Valley                                                                                     |    14
 Acadie Siding                                                                                     |     7
 Acadieville                                                                                       |    17
 Acme                                                                                              |    21
 Acton Vale                                                                                        |   143
 Adams Gulch                                                                                       |     1
 Adams Lake                                                                                        |     8
 Adamsville                                                                                        |     4
 Addington Forks                                                                                   |    17
 Admiral Rock                                                                                      |    10
 Admirals Beach                                                                                    |     2
 Adstock                                                                                           |   118
 Advocate Harbour                                                                                  |    16
 Aetna                                                                                             |    13
 Afton                                                                                             |    13
 Afton Road                                                                                        |     6
 Agassiz                                                                                           |   168
 Agency 1                                                                                          |     5
 Aguanish                                                                                          |    24
 Ahousaht                                                                                          |    15
 Ainslie Glen                                                                                      |     3
 Ainsworth Hot Springs                                                                             |    16
 Airdrie                                                                                           |   599
 Aklavik                                                                                           |    27
 Akwesasne                                                                                         |    36
 Akwesasne 59                                                                                      |    42
 Alaska                                                                                            |     8
 Alba                                                                                              |     3
 Albanel                                                                                           |    42
 Albany                                                                                            |    15
 Albany Cross                                                                                      |     7
 Albany New                                                                                        |     6
 Alberry Plains                                                                                    |     6
 Albert                                                                                            |    13
 Albert Bridge                                                                                     |    77
 Albert Mines                                                                                      |     7
 Alberta Beach                                                                                     |    39
 Alberton                                                                                          |    32
 Albertville                                                                                       |    22
 Albion                                                                                            |     8
 Albion Cross                                                                                      |     9
 Albrights Corner                                                                                  |     5
 Alcida                                                                                            |     3
 Alcomdale                                                                                         |     5
 Alder Flats                                                                                       |    10
 Alder Plains                                                                                      |     3
 Alder Point                                                                                       |     7
 Alder River                                                                                       |     2
 Alderney Point                                                                                    |     5
 Aldersville                                                                                       |     6
 Aldersyde                                                                                         |     9
 Alderville First Nation                                                                           |    12
 Alderwood                                                                                         |     3
 Aldouane                                                                                          |    33
 Alert Bay                                                                                         |    54
 Alexander                                                                                         |   258
 Alexander # 134A                                                                                  |     1
 Alexander #134                                                                                    |     9
 Alexandra                                                                                         |    10
 Alexandria                                                                                        |    19
 Alexis #133                                                                                       |     5
 Alexis Creek                                                                                      |    30
 Alhambra                                                                                          |    10
 Alice Arm                                                                                         |     1
 Alingham                                                                                          |     1
 Alix                                                                                              |    31
 Alkali Lake                                                                                       |     1
 Allains Creek                                                                                     |     4
 Allainville                                                                                       |     1
 Allandale                                                                                         |     3
 Allardville                                                                                       |    26
 Allen Hill                                                                                        |     1
 Allendale                                                                                         |     4
 Allenville                                                                                        |     7
 Alleyn-et-Cawood                                                                                  |    68
 Alliance                                                                                          |    16
 Allison                                                                                           |     7
 Allison Bay #219                                                                                  |     1
 Allison Lake                                                                                      |    10
 Alliston                                                                                          |     2
 Alma                                                                                              |   603
 Alonsa                                                                                            |    18
 Altario                                                                                           |     5
 Alton                                                                                             |    13
 Altona                                                                                            |    97
 Amber River #211                                                                                  |     1
 Amherst                                                                                           |   342
 Amherst Head                                                                                      |     6
 Amherst Point                                                                                     |     2
 Amherst Shore                                                                                     |    57
 Amiraults Hill                                                                                    |    17
 Amisk                                                                                             |    14
 Ammon                                                                                             |     8
 Amos                                                                                              |   200
 Amqui                                                                                             |   165
 Anaconda                                                                                          |    41
 Anagance                                                                                          |    26
 Anahim Lake                                                                                       |    50
 Anahims Flat IR                                                                                   |     7
 Anahims Meadow IR                                                                                 |     1
 Anchor Point                                                                                      |     8
 Anderson Mountain                                                                                 |     1
 Anderson Road                                                                                     |     2
 Anderson Settlement                                                                               |     1
 Andersonville                                                                                     |    10
 Andrew                                                                                            |    20
 Anfield                                                                                           |     6
 Ange-Gardien                                                                                      |    45
 Angevine Lake                                                                                     |     6
 Anglemont                                                                                         |    42
 Angliers                                                                                          |    19
 Anglo Tignish                                                                                     |    15
 Anmore                                                                                            |    62
 Annandale                                                                                         |    11
 Annapolis Royal                                                                                   |    26
 Annapolis Valley First Nation                                                                     |    12
 Anse-Bleue                                                                                        |    16
 Anstey Arm                                                                                        |     1
 Antigonish                                                                                        |   115
 Antigonish Harbour                                                                                |     7
 Antigonish Landing                                                                                |    18
 Antler Lake                                                                                       |     6
 Antrim                                                                                            |     8
 Anzac                                                                                             |    21
 Apex                                                                                              |    22
 Apohaqui                                                                                          |    21
 Appin Road                                                                                        |     5
 Apple River                                                                                       |    15
 Appledale                                                                                         |    17
 Appleton                                                                                          |    12
 Aquaforte                                                                                         |     2
 Arbeau Settlement                                                                                 |     2
 Arborg                                                                                            |    32
 Arcadia                                                                                           |    33
 Archie                                                                                            |    14
 Arctic Bay                                                                                        |     1
 Ardley                                                                                            |     3
 Ardmore                                                                                           |    13
 Ardness                                                                                           |     7
 Ardoise                                                                                           |    36
 Ardrossan                                                                                         |    10
 Argenta                                                                                           |    15
 Argentia Beach                                                                                    |     1
 Argyle                                                                                            |    47
 Argyle Head                                                                                       |     8
 Argyle Shore                                                                                      |    32
 Argyle Sound                                                                                      |     7
 Arichat                                                                                           |    39
 Arisaig                                                                                           |    18
 Arlington                                                                                         |    16
 Arlington East                                                                                    |     7
 Arlington West                                                                                    |     3
 Armagh                                                                                            |    55
 Armena                                                                                            |     6
 Armond                                                                                            |     2
 Armstrong                                                                                         |   130
 Armstrong Lake                                                                                    |     2
 Arnold's Cove                                                                                     |    26
 Aroostook                                                                                         |    18
 Aroostook Junction                                                                                |     8
 Arras                                                                                             |    37
 Arrow Park                                                                                        |    17
 Arrowwood                                                                                         |    10
 Arthur                                                                                            |    18
 Arthurette                                                                                        |    10
 Arundel                                                                                           |    36
 Arviat                                                                                            |     1
 Asbestos                                                                                          |   146
 Ascension                                                                                         |     7
 Ascot Corner                                                                                      |    77
 Ashcroft                                                                                          |   107
 Ashdale                                                                                           |     7
 Ashfield                                                                                          |     4
 Ashland                                                                                           |     4
 Ashmont                                                                                           |    12
