select sum(cnt) as sum, inclass from (
    select name, pat, cnt, string_agg(word, '|' order by seq) as words,
           string_agg(inclass, '|' order by seq) as inclass
        from ( select l_stname_c as name, count(*) as cnt
                from rawdata.roadseg
                where l_stname_c not in ('None','Unknown')
                    and coalesce(nullif(nullif(l_hnumf, 0), -1),
                    nullif(nullif(l_hnuml, 0), -1),
                    nullif(nullif(r_hnumf, 0), -1),
                    nullif(nullif(r_hnuml, 0), -1)) is not null
                group by name
       ) as a,
       as_config as cfg,
       LATERAL as_parse( name, clexicon, 'fr_CA', 'SPACE,STOPWORD,DASH,PUNCT')
as std
    where cfg.id=26
    group by name, pat, cnt) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 21 min 33 secs. 921 rows affected.


"398152"    "WORD|WORD,TYPE"
"198992"    "WORD,TYPE|WORD"
"60574" "WORD,TYPE|WORD|WORD"
"54932" "WORD,TYPE|NUMBER"
"37324" "WORD|WORD,TYPE|WORD,TYPE"
"31736" "WORD,TYPE|WORD,TYPE|NUMBER"
"31115" "WORD|WORD|WORD,TYPE"
"29757" "WORD|WORD,TYPE|NUMBER"
"27391" "NUMBER|WORD,TYPE"
"25266" "WORD,TYPE|WORD,TYPE"
"16903" "NUMBER|WORD,TYPE|WORD,DIRECT|DIRECT"
"16809" "WORD,TYPE|NUMBER|WORD,SINGLE"
"15243" "WORD|WORD,TYPE|WORD,DIRECT"
"14823" "WORD|WORD,TYPE|DIRECT"
"8749"  "WORD,TYPE|WORD|WORD,TYPE"
"7754"  "WORD,TYPE|NUMBER|WORD,TYPE"
"7399"  "WORD|WORD,TYPE|WORD,DIRECT|DIRECT"
"5581"  "WORD|WORD,TYPE|DIRECT|DIRECT"
"4914"  "WORD,TYPE|WORD|WORD,DIRECT"
"4865"  "WORD,TYPE|WORD|DIRECT"
"4721"  "WORD|WORD,TYPE|DIRECT|WORD,DIRECT"
"4300"  "MIXED,PCT|WORD,TYPE"
"4170"  "WORD,TYPE|WORD,TYPE|WORD,TYPE"
"3778"  "NUMBER|WORD,SINGLE|WORD,TYPE"
"3550"  "WORD,TYPE|WORD|WORD|WORD"
"3436"  "NUMBER|WORD,TYPE|DIRECT|DIRECT"
"3242"  "NUMBER|WORD,TYPE|WORD,DIRECT"
"3180"  "NUMBER|WORD,TYPE|DIRECT"
"2935"  "WORD|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"2932"  "WORD,TYPE|WORD,TYPE|WORD"
"2873"  "WORD,TYPE|WORD|WORD|DIRECT"
