cnt|micro
26|100th Avenue E Ct
6|100th Avenue NW Ct
2|100th Avenue SW Ct
2|100th St Rd
17|100th Street E Ct
4|100th Street NW Ct
8|100th Street S Ct
10|100th Street SW Ct
7|101st Avenue E Ct
8|101st Avenue NW Ct
2|101st Avenue SW Ct
2|101st Avenue W Ct
4|101st Ave W Ct
10|101st Street E Ct
6|101st Street NW Ct
6|101st Street SW Ct
5|102nd Avenue E Ct
2|102nd Avenue NW Ct
6|102nd Avenue SW Ct
20|102nd Street E Ct
3|102nd Street N Ct
10|102nd Street NW Ct
4|102nd Street S Ct
7|103rd Ave E Ct
10|103rd Avenue E Ct
8|103rd Avenue NW Ct
2|103rd Avenue SW Ct
2|103rd Avenue W Ct
12|103rd Street E Ct
2|103rd Street N Ct
5|103rd Street NW Ct
2|103rd Street SW Ct
7|103rd Street W Ct
8|104th Ave E Ct
17|104th Avenue E Ct
9|104th Avenue NW Ct
6|104th Avenue SW Ct
2|104th Avenue W Ct
3|104th Ave W Ct
17|104th Street E Ct
9|104th Street S Ct
8|104th Street SW Ct
30|105th Ave E Ct
37|105th Avenue E Ct
7|105th Avenue NW Ct
6|105th Avenue SW Ct
3|105th Avenue W Ct
2|105th Ave SW Ct
21|105th Street E Ct
2|105th Street NW Ct
2|105th Street S Ct
6|105th Street SW Ct
9|106th Ave E Ct
49|106th Avenue E Ct
4|106th Avenue NW Ct
4|106th Avenue SW Ct
19|106th Street E Ct
4|106th Street NW Ct
1|106th Street S Ct
4|106th Street SW Ct
9|107th Ave E Ct
50|107th Avenue E Ct
2|107th Avenue NW Ct
8|107th Street E Ct
2|107th Street S Ct
6|107th Street SW Ct
10|108th Ave E Ct
52|108th Avenue E Ct
6|108th Avenue NW Ct
6|108th Avenue SW Ct
22|108th Street E Ct
15|108th Street SW Ct
39|109th Avenue E Ct
43|109th Street E Ct
3|109th Street N Ct
5|109th Street NW Ct
8|109th Street SW Ct
24|10th Ave E Ct
4|10th Ave N Cir
34|10th Avenue E Ct
2|10th Avenue NE Cir
6|10th Avenue NE Ct
2|10th Avenue NE Ln
9|10th Avenue NE Pl
2|10th Avenue NW Cir
3|10th Avenue NW Ct
8|10th Avenue S Cir
6|10th Avenue S Ct
4|10th Avenue SE Ct
4|10th Avenue SE Ln
2|10th Avenue SE Pl
10|10th Avenue S Ter
2|10th Ave S Ct
1|10th Ave SW Ct
35|10th Street E Ct
5|10th Street N Ct
6|10th Street NE Cir
4|10th Street NE Ct
5|10th Street NE Pl
2|10th Street N Ln
25|10th Street NW Blvd
4|10th Street NW Cir
4|10th Street NW Ct
8|10th Street NW Ln
33|10th Street NW Pl
2|10th Street Place NW Cir
4|10th Street S Ct
2|10th Street SE Cir
2|10th Street SE Ct
4|10th Street SW Pl
7|110th Ave E Ct
32|110th Avenue E Ct
2|110th Ave SW Ct
1|110th Av W Ct
31|110th Street E Ct
2|110th Street NW Ct
8|110th Street SW Ct
4|111th Ave E Ct
28|111th Avenue E Ct
2|111th Avenue NW Ct
13|111th Street E Ct
2|111th Street NW Ct
8|111th Street SW Ct
5|112th Ave E Ct
16|112th Avenue E Ct
23|112th Street E Ct
12|112th Street NW Ct
4|112th Street SW Ct
2|113th Ave E Ct
21|113th Avenue E Ct
2|113th Ave W Ct
23|113th Street E Ct
4|113th Street N Ct
2|113th Street NW Ct
28|114th Avenue E Ct
6|114th Avenue NW Ct
2|114th Avenue SW Ct
2|114th Ave W Ct
24|114th Street E Ct
11|114th Street N Ct
4|114th Street NW Ct
6|114th Street SW Ct
24|115th Avenue E Ct
3|115th Avenue NW Ct
21|115th Street E Ct
8|115th Street NW Ct
14|115th Street SW Ct
6|115th Street W Ct
8|116th Ave E Ct
30|116th Avenue E Ct
4|116th Avenue NW Ct
25|116th Street E Ct
8|116th Street NW Ct
6|116th Street SW Ct
6|116th Street W Ct
20|117th Ave E Ct
19|117th Avenue E Ct
8|117th Avenue W Ct
27|117th Street E Ct
2|117th Street NW Ct
2|117th Street SW Ct
3|118th Ave E Ct
57|118th Avenue E Ct
16|118th Street E Ct
14|118th Street NW Ct
4|118th Street SW Ct
2|119th Ave E Ct
32|119th Avenue E Ct
3|119th Avenue W Ct
2|119th Ave W Ct
28|119th Street E Ct
15|119th Street NW Ct
3|11 Mile To Ashton Rd111 Mile
2|11th Ave C Ct
5|11th Ave E Cir
19|11th Ave E Ct
4|11th Avenue B Ct
47|11th Avenue E Ct
3|11th Avenue NE Ct
2|11th Avenue NE Pl
6|11th Avenue NW Cir
4|11th Avenue NW Ct
6|11th Avenue NW Pl
4|11th Avenue NW Ter
12|11th Avenue S Ct
8|11th Avenue SE Blvd
3|11th Avenue SE Ct
2|11th Avenue W Ct
4|11th Ave S Ct
2|11th Ave SE Ct
3|11th Fi Ln
15|11th Street E Cir
35|11th Street E Ct
1|11th Street N Cir
2|11th Street N Ct
2|11th Street NE Ct
4|11th Street NW Cir
4|11th Street NW Ct
7|11th Street NW Pl
2|11th Street SE Cir
4|11th Street SE Ct
16|11th Street SW Pl
21|11th Street W Ct
30|120th Avenue E Ct
35|120th Street E Ct
7|120th Street NW Ct
25|121st Avenue E Ct
2|121st Avenue W Ct
31|121st Street E Ct
4|121st Street NW Ct
5|121st Street W Ct
7|122nd Ave E Ct
26|122nd Avenue E Ct
29|122nd Street E Ct
4|122nd Street NW Ct
22|123rd Avenue E Ct
44|123rd Street E Ct
8|123rd Street NW Ct
4|123rd Street W Ct
2|124th Ave E Ct
28|124th Avenue E Ct
43|124th Street E Ct
2|124th Street N Cir
2|124th Street N Ct
4|124th Street NW Ct
4|124th Street SW Ct
9|124th Street W Ct
12|125th Ave E Ct
36|125th Avenue E Ct
54|125th Street E Ct
